Device,Device ID,Wafer,Site,P/F,Time
1,"1",0,1,1,598172
2,"2",0,1,1,64374
3,"3",0,1,1,63791
4,"4",0,1,1,61253
5,"5",0,1,1,57451
6,"6",0,1,0,11639
7,"7",0,1,1,68242
8,"8",0,1,0,46556
9,"9",0,1,0,42703
10,"10",0,1,0,43029
11,"11",0,1,0,47072
