Device,Device ID,Part ID,Part Txt,Testflow,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"1","","",1,0,1,0,"90",3,5423,""
2,"2","","",2,0,1,0,"90",3,1738,""
3,"3","","",3,0,1,0,"90",3,1735,""
4,"4","","",4,0,1,0,"90",3,1743,""
5,"5","","",5,0,1,0,"90",3,1729,""
