Device,Device ID,Part ID,Part Txt,Testflow,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"1","","",1,0,1,1,"1",1,43742,""
2,"2","","",2,0,1,1,"1",1,27567,""
3,"3","","",3,0,1,0,"58",4,16188,""
4,"4","","",4,0,1,0,"53",4,16079,""
5,"5","","",5,0,1,1,"1",1,27515,""
