HW Bin,Desc,Site,Site%,Device#,Bin%
2,"CONTINUITY_FAIL",1,16.7,1,16.7
1,"",1,66.7,4,66.7
4,"FAIL_TRIM_EFUSE",1,16.7,1,16.7
