Device,Device ID,Part ID,Part Txt,Testflow,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"1","","",1,0,1,1,"1",1,38807,""
2,"2","","",2,0,1,0,"70",4,16910,""
3,"3","","",3,0,1,1,"1",1,27526,""
4,"4","","",4,0,1,0,"53",4,16022,""
5,"5","","",5,0,1,1,"1",1,27493,""
