Device,Device ID,Part ID,Part Txt,Testflow,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"1","","",1,0,1,0,"2",2,794,""
2,"1","","",2,0,1,1,"1",1,39465,""
3,"2","","",3,0,1,1,"1",1,27266,""
4,"3","","",4,0,1,1,"1",1,27261,""
5,"4","","",5,0,1,1,"1",1,27251,""
6,"5","","",6,0,1,0,"69",4,16606,""
