Device,Device ID,Part ID,Part Txt,Testflow,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"1","","",1,0,1,0,"7",3,7073,""
2,"2","","",2,0,1,0,"7",3,1897,""
3,"3","","",3,0,1,0,"58",4,83051,""
4,"4","","",4,0,1,0,"53",4,15908,""
5,"5","","",5,0,1,1,"1",1,36852,""
