Device,Device ID,Part ID,Part Txt,Testflow,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"1","","",1,0,1,1,"1",1,110081,""
2,"2","","",2,0,1,0,"61",4,17136,""
3,"3","","",3,0,1,0,"53",4,16053,""
4,"4","","",4,0,1,0,"8",3,4444,""
5,"5","","",5,0,1,0,"8",3,4445,""
