HW Bin,Desc,Device#,Bin%
1,"",57,59.4
9,"NO_RETEST",9,9.4
2,"FAIL_TRIM_EFUSE",17,17.7
3,"CONTINUITY_LKG_FAIL",7,7.3
4,"FAIL_GROSS_FUNC_TH",5,5.2
5,"SCAN_FAIL",1,1
