Device,Device ID,Wafer,Site,P/F,Time
1,"458",0,1,1,557309
2,"439",0,1,1,54213
3,"420",0,1,1,47409
4,"401",0,1,1,47521
5,"382",0,1,1,44598
6,"363",0,1,1,41398
7,"344",0,1,1,41319
8,"325",0,1,1,41473
9,"306",0,1,1,40677
10,"287",0,1,1,41136
11,"268",0,1,1,41025
12,"249",0,1,1,40741
13,"230",0,1,1,41255
14,"211",0,1,1,40594
15,"192",0,1,1,40842
16,"173",0,1,1,41209
17,"154",0,1,1,41234
18,"135",0,1,1,40916
19,"116",0,1,1,41299
20,"97",0,1,1,41386
21,"78",0,1,1,40966
22,"59",0,1,1,40823
23,"40",0,1,1,40942
24,"21",0,1,1,41166
25,"2",0,1,1,41381
26,"136",0,1,1,41446
27,"117",0,1,1,44664
28,"98",0,1,1,41317
29,"79",0,1,1,40811
30,"60",0,1,1,40931
31,"41",0,1,1,41122
32,"22",0,1,1,40919
33,"3",0,1,1,41270
34,"288",0,1,1,41680
35,"269",0,1,1,41535
36,"250",0,1,1,41432
37,"231",0,1,1,41284
