SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1","",1,14.3,1,14.3,1,0
"2","CONTINUITY_FAILED",1,28.6,2,28.6,1,0
"10","IVDDFL_IVINFL_RONFL_FAILED",1,28.6,2,28.6,1,0
"9","Output_enabled_leakage_FAILED",1,28.6,2,28.6,1,0
