Device,Device ID,Part ID,Part Txt,Testflow,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"423","","",1,0,1,1,"1",1,119276,""
2,"88","","",2,0,1,0,"2",2,330,""
3,"88","","",3,0,1,0,"10",3,746811,""
4,"80","","",4,0,1,0,"2",2,328,""
5,"80","","",5,0,1,0,"9",3,78541,""
6,"114","","",6,0,1,0,"10",3,70081,""
7,"110","","",7,0,1,0,"9",3,74954,""
