HW Bin,Desc,Site,Site%,Device#,Bin%
3,"LKG_FAIL",1,14.3,1,14.3
4,"FAIL_TRIM_EFUSE",1,42.9,3,42.9
6,"FAIL_GROSS_FUNC_TH",1,28.6,2,28.6
2,"CONTINUITY_FAIL",1,14.3,1,14.3
