Device,Device ID,Part ID,Part Txt,Testflow,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"110","","",1,0,1,0,"85",3,115645,""
2,"114","","",2,0,1,0,"69",4,26215,""
3,"114","","",3,0,1,0,"69",4,26152,""
4,"80","","",4,0,1,0,"40",6,26135,""
5,"80","","",5,0,1,0,"40",6,26167,""
6,"88","","",6,0,1,0,"69",4,26137,""
7,"84","","",7,0,1,0,"2",2,386422,""
