Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"CONTINUITY",10030,"",0,1,"EN0_PS1600",1,-367.646,"mV","P",0.141033,***,""
"CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,-426.493,"mV","P",0.141033,***,""
"CONTINUITY",10050,"",0,1,"FCB_PS1600",1,-369.019,"mV","P",0.141033,***,""
"CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,-355.69,"mV","P",0.141033,***,""
"CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,-371.466,"mV","P",0.141033,***,""
"CONTINUITY",10040,"",0,1,"OFF_PS1600",1,-362.416,"mV","P",0.141033,***,""
"CONTINUITY",10010,"",0,1,"SS_PS1600",1,-458.448,"mV","P",0.141033,***,""
"CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,-296.393,"mV","P",0.141033,***,""
"CONTINUITY",10060,"",0,1,"GND_PS1600",1,-368.155,"mV","P",0.141033,***,""
"CONTINUITY",10180,"",0,1,"VIN1",1,-343.319,"mV","P",0.141033,***,""
"CONTINUITY",10190,"",0,1,"VIN2",1,-343.708,"mV","P",0.141277,***,""
"CONTINUITY",10200,"",0,1,"VIN3",1,-343.46,"mV","P",0.141277,***,""
"CONTINUITY",10210,"",0,1,"VIN4_RS1",1,-343.674,"mV","P",0.141277,***,""
"CONTINUITY",10220,"",0,1,"VIN4_RS2",1,-343.895,"mV","P",0.141277,***,""
"CONTINUITY",10230,"",0,1,"VIN5_RS1",1,-343.721,"mV","P",0.141277,***,""
"CONTINUITY",10240,"",0,1,"VIN5_RS2",1,-343.445,"mV","P",0.141277,***,""
"CONTINUITY",10250,"",0,1,"VIN6",1,-343.538,"mV","P",0.141277,***,""
"CONTINUITY",10100,"",0,1,"VOUT1",1,-227.472,"mV","P",0.141277,***,""
"CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,-227.398,"mV","P",0.141277,***,""
"CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,-227.478,"mV","P",0.141277,***,""
"CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,-227.661,"mV","P",0.141277,***,""
"CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,-227.726,"mV","P",0.141277,***,""
"CONTINUITY",10150,"",0,1,"VOUT4",1,-227.543,"mV","P",0.141277,***,""
"CONTINUITY",10160,"",0,1,"VOUT5",1,-227.654,"mV","P",0.141277,***,""
"CONTINUITY",10170,"",0,1,"VOUT6",1,-227.343,"mV","P",0.141277,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,-4.66642,"nA","P",0.422081,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,-4.66642,"nA","P",0.422081,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,-8.79794,"nA","P",0.422081,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,-8.79794,"nA","P",0.422081,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,-7.25707,"nA","P",0.422081,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,-7.25707,"nA","P",0.422081,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",1,-9.61676,"nA","P",0.422081,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",1,-9.61676,"nA","P",0.422081,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",1,298.965,"nA","P",0.422081,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",1,-299.675,"nA","P",0.422081,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",1,298.493,"nA","P",0.422081,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",1,-301.581,"nA","P",0.422081,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",1,502.408,"nA","P",0.422081,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",1,-507.093,"nA","P",0.422081,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",1,-0.515196,"nA","P",0.422081,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",0,1,"FCB_PS1600",1,-5.07036,"nA","P",0.422081,***,""
