Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"CONTINUITY",10030,"",0,1,"EN0_PS1600",1,-366.451,"mV","P",0.346491,***,""
"CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,-425.468,"mV","P",0.346491,***,""
"CONTINUITY",10050,"",0,1,"FCB_PS1600",1,-365.718,"mV","P",0.346491,***,""
"CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,-354.153,"mV","P",0.346491,***,""
"CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,-369.36,"mV","P",0.346491,***,""
"CONTINUITY",10040,"",0,1,"OFF_PS1600",1,-360.424,"mV","P",0.346491,***,""
"CONTINUITY",10010,"",0,1,"SS_PS1600",1,-451.903,"mV","P",0.346491,***,""
"CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,-294.116,"mV","P",0.346491,***,""
"CONTINUITY",10060,"",0,1,"GND_PS1600",1,-356.885,"mV","P",0.346491,***,""
"CONTINUITY",10180,"",0,1,"VIN1",1,-342.102,"mV","P",0.346491,***,""
"CONTINUITY",10190,"",0,1,"VIN2",1,-342.789,"mV","P",0.346491,***,""
"CONTINUITY",10200,"",0,1,"VIN3",1,-342.613,"mV","P",0.346491,***,""
"CONTINUITY",10210,"",0,1,"VIN4_RS1",1,-342.594,"mV","P",0.346491,***,""
"CONTINUITY",10220,"",0,1,"VIN4_RS2",1,-342.766,"mV","P",0.346491,***,""
"CONTINUITY",10230,"",0,1,"VIN5_RS1",1,-342.527,"mV","P",0.346491,***,""
"CONTINUITY",10240,"",0,1,"VIN5_RS2",1,-342.3,"mV","P",0.346491,***,""
"CONTINUITY",10250,"",0,1,"VIN6",1,-342.859,"mV","P",0.346491,***,""
"CONTINUITY",10100,"",0,1,"VOUT1",1,-226.311,"mV","P",0.346491,***,""
"CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,-226.307,"mV","P",0.346491,***,""
"CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,-226.313,"mV","P",0.346491,***,""
"CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,-226.442,"mV","P",0.346491,***,""
"CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,-226.013,"mV","P",0.346491,***,""
"CONTINUITY",10150,"",0,1,"VOUT4",1,-226.305,"mV","P",0.346491,***,""
"CONTINUITY",10160,"",0,1,"VOUT5",1,-225.916,"mV","P",0.346491,***,""
"CONTINUITY",10170,"",0,1,"VOUT6",1,-226.053,"mV","P",0.346491,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,-5.63127,"nA","P",0.512936,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,-5.63127,"nA","P",0.512936,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,-10.5771,"nA","P",0.512936,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,-10.5771,"nA","P",0.512936,***,""
