Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"CONTINUITY",10030,"",0,1,"EN0_PS1600",1,-369.068,"mV","P",0.662967,***,""
"CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,-423.875,"mV","P",0.662967,***,""
"CONTINUITY",10050,"",0,1,"FCB_PS1600",1,-369.36,"mV","P",0.662967,***,""
"CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,-355.804,"mV","P",0.662967,***,""
"CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,-370.669,"mV","P",0.662967,***,""
"CONTINUITY",10040,"",0,1,"OFF_PS1600",1,-363.156,"mV","P",0.662967,***,""
"CONTINUITY",10010,"",0,1,"SS_PS1600",1,-453.781,"mV","P",0.662967,***,""
"CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,-297.417,"mV","P",0.662967,***,""
"CONTINUITY",10060,"",0,1,"GND_PS1600",1,-366.959,"mV","P",0.662967,***,""
"CONTINUITY",10180,"",0,1,"VIN1",1,-342.503,"mV","P",0.662967,***,""
"CONTINUITY",10190,"",0,1,"VIN2",1,-343.134,"mV","P",0.662967,***,""
"CONTINUITY",10200,"",0,1,"VIN3",1,-342.793,"mV","P",0.662967,***,""
"CONTINUITY",10210,"",0,1,"VIN4_RS1",1,-342.714,"mV","P",0.662967,***,""
"CONTINUITY",10220,"",0,1,"VIN4_RS2",1,-342.932,"mV","P",0.662967,***,""
"CONTINUITY",10230,"",0,1,"VIN5_RS1",1,-343.258,"mV","P",0.662967,***,""
"CONTINUITY",10240,"",0,1,"VIN5_RS2",1,-343.065,"mV","P",0.662967,***,""
"CONTINUITY",10250,"",0,1,"VIN6",1,-343.054,"mV","P",0.662967,***,""
"CONTINUITY",10100,"",0,1,"VOUT1",1,-226.543,"mV","P",0.662967,***,""
"CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,-226.412,"mV","P",0.662967,***,""
"CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,-226.435,"mV","P",0.662967,***,""
"CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,-226.538,"mV","P",0.662967,***,""
"CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,-226.624,"mV","P",0.662967,***,""
"CONTINUITY",10150,"",0,1,"VOUT4",1,-226.748,"mV","P",0.662967,***,""
"CONTINUITY",10160,"",0,1,"VOUT5",1,-226.61,"mV","P",0.662967,***,""
"CONTINUITY",10170,"",0,1,"VOUT6",1,-226.286,"mV","P",0.662967,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,-5.07267,"nA","P",0.695611,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,-5.07267,"nA","P",0.695611,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,-8.23878,"nA","P",0.695611,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,-8.23878,"nA","P",0.695611,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,-7.00117,"nA","P",0.695611,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,-7.00117,"nA","P",0.695611,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",1,-9.56568,"nA","P",0.695611,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",1,-9.56568,"nA","P",0.695611,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",1,300.101,"nA","P",0.695611,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",1,-303.145,"nA","P",0.695611,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",1,300.61,"nA","P",0.695611,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",1,-301.083,"nA","P",0.695611,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",1,505.643,"nA","P",0.695611,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",1,-509.762,"nA","P",0.695611,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",1,-0.0591465,"nA","P",0.695611,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",0,1,"FCB_PS1600",1,-4.817,"nA","P",0.695611,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",0,1,"ISEN_PS1600",1,0.301752,"nA","P",0.695611,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",0,1,"ISEN_PS1600",1,-8.13885,"nA","P",0.695611,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",0,1,"VBIAS_PS1600",1,732,"nA","P",0.695611,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",0,1,"VBIAS_PS1600",1,-809,"nA","P",0.695611,***,""
"RON_200mAVDD_5_VIN_5_20V_Part",90050,"",0,1,"VIN1",1,0.0224829,"ohm","P",0.20184,***,""
"DEVICE_VARIENT_TRUE",90060,"",0,1,"VIN1",1,1,"","P",0.20184,***,""
"BANKA_BIT5_BLOWN_TRUE",1000001,"",0,1,"OFF_PS1600",1,0,"","P",0.277278,***,""
"EN_FCB_LOW_VOUT_LOW",30010,"",0,1,"VOUT4",1,0.00150299,"V","P",0.501083,***,""
"EN_FCB_LOW_OFF_HIGH",30020,"",0,1,"OFF_PS1600",1,1.9036,"V","P",0.501083,***,""
"FCB_LOW_VOUT_LOW",30030,"",0,1,"VOUT4",1,0.00114059,"V","P",0.501083,***,""
"FCB_LOW_OFF_HIGH",30040,"",0,1,"OFF_PS1600",1,1.90497,"V","P",0.501083,***,""
"EN_LOW_VOUT_LOW",30050,"",0,1,"VOUT4",1,0.000831604,"V","P",0.501083,***,""
"EN_LOW_OFF_HIGH",30060,"",0,1,"OFF_PS1600",1,1.90412,"V","P",0.501083,***,""
"EN_FCB_HIGH_VOUT_HIGH",30070,"",0,1,"VOUT4",1,4.99974,"V","P",0.501083,***,""
"EN_FCB_HIGH_OFF_LOW",30080,"",0,1,"OFF_PS1600",1,0.000714269,"V","P",0.501083,***,""
"FAULT_SET_VOUT_LOW",30090,"",0,1,"VOUT4",1,0.000276566,"V","P",0.501083,***,""
