HW Bin,Desc,Site,Site%,Device#,Bin%
1,"",1,74.3,75,74.3
2,"FAIL_TRIM_EFUSE",1,22.8,23,22.8
3,"CONTINUITY_LKG_FAIL",1,3,3,3
