Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"1103",0,1,1,"1",1,614175,""
2,"1122",0,1,1,"1",1,71656,""
3,"1141",0,1,1,"1",1,61539,""
4,"1160",0,1,1,"1",1,72040,""
5,"762",0,1,1,"1",1,58210,""
6,"781",0,1,1,"1",1,58144,""
7,"761",0,1,1,"1",1,61051,""
8,"780",0,1,1,"1",1,57724,""
9,"799",0,1,0,"18",2,39221,""
10,"818",0,1,1,"1",1,60373,""
11,"837",0,1,0,"18",2,38607,""
12,"856",0,1,1,"1",1,57272,""
13,"800",0,1,1,"1",1,57609,""
14,"819",0,1,0,"18",2,39010,""
15,"838",0,1,0,"18",2,39409,""
16,"857",0,1,1,"1",1,57123,""
17,"876",0,1,1,"1",1,57449,""
18,"895",0,1,1,"1",1,57582,""
19,"914",0,1,0,"18",2,38899,""
20,"933",0,1,1,"1",1,61075,""
21,"952",0,1,1,"1",1,61840,""
22,"971",0,1,1,"1",1,58153,""
23,"990",0,1,1,"1",1,58056,""
24,"1009",0,1,1,"1",1,58148,""
25,"1028",0,1,1,"1",1,57906,""
26,"1047",0,1,1,"1",1,58100,""
27,"1066",0,1,0,"6",2,27245,""
28,"1085",0,1,1,"1",1,58176,""
29,"1104",0,1,0,"18",2,39466,""
30,"1123",0,1,1,"1",1,58371,""
31,"1142",0,1,1,"1",1,58287,""
32,"1161",0,1,1,"1",1,58912,""
33,"1180",0,1,0,"6",2,27737,""
34,"1199",0,1,1,"1",1,57966,""
35,"1218",0,1,1,"1",1,58350,""
36,"1237",0,1,1,"1",1,57989,""
37,"1256",0,1,1,"1",1,58034,""
38,"1275",0,1,1,"1",1,58107,""
39,"1294",0,1,1,"1",1,58232,""
40,"1313",0,1,0,"18",2,43422,""
41,"1332",0,1,1,"1",1,58254,""
42,"1351",0,1,1,"1",1,58572,""
43,"1370",0,1,1,"1",1,58473,""
44,"1389",0,1,0,"18",2,43331,""
45,"1446",0,1,1,"1",1,58296,""
46,"1465",0,1,1,"1",1,58005,""
47,"1484",0,1,1,"1",1,58316,""
48,"1485",0,1,1,"1",1,58271,""
49,"1504",0,1,1,"1",1,57372,""
50,"1333",0,1,1,"1",1,58032,""
51,"1352",0,1,1,"1",1,58098,""
52,"1371",0,1,1,"1",1,58422,""
53,"1390",0,1,1,"1",1,58116,""
54,"1447",0,1,1,"1",1,58378,""
55,"1466",0,1,1,"1",1,58281,""
56,"1181",0,1,1,"1",1,58759,""
57,"1200",0,1,1,"1",1,58282,""
58,"1219",0,1,1,"1",1,58143,""
59,"1238",0,1,0,"3",3,184,""
60,"1238",0,1,0,"3",3,185,""
61,"1257",0,1,1,"1",1,58253,""
62,"1276",0,1,1,"1",1,58305,""
63,"1295",0,1,1,"1",1,58029,""
64,"1314",0,1,1,"1",1,58207,""
65,"1029",0,1,1,"1",1,58142,""
66,"1048",0,1,0,"6",2,27439,""
67,"1067",0,1,0,"18",2,38974,""
68,"1086",0,1,1,"1",1,58372,""
69,"1105",0,1,1,"1",1,58141,""
70,"1124",0,1,1,"1",1,58327,""
71,"1143",0,1,1,"1",1,58436,""
72,"1162",0,1,1,"1",1,58707,""
73,"877",0,1,1,"1",1,58368,""
74,"896",0,1,1,"1",1,58258,""
75,"915",0,1,1,"1",1,58495,""
76,"934",0,1,0,"6",2,27787,""
77,"953",0,1,0,"18",2,43150,""
78,"972",0,1,0,"18",2,41182,""
79,"991",0,1,1,"1",1,58491,""
80,"1010",0,1,1,"1",1,57962,""
81,"764",0,1,1,"1",1,58216,""
82,"783",0,1,0,"18",2,39530,""
83,"763",0,1,1,"1",1,58480,""
84,"782",0,1,0,"18",2,39616,""
85,"801",0,1,0,"18",2,40046,""
86,"820",0,1,0,"18",2,38922,""
87,"839",0,1,0,"18",2,39959,""
88,"858",0,1,1,"1",1,57454,""
89,"802",0,1,1,"1",1,59157,""
90,"821",0,1,1,"1",1,57621,""
91,"840",0,1,1,"1",1,58231,""
92,"859",0,1,0,"18",2,38712,""
93,"878",0,1,0,"6",2,27449,""
94,"897",0,1,0,"18",2,39871,""
95,"916",0,1,1,"1",1,58054,""
96,"935",0,1,1,"1",1,58973,""
97,"954",0,1,1,"1",1,58190,""
98,"973",0,1,1,"1",1,58228,""
99,"992",0,1,0,"5",3,635,""
100,"1011",0,1,1,"1",1,57114,""
101,"1030",0,1,1,"1",1,57473,""
