Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"CONTINUITY",10030,"",0,1,"EN0_PS1600",1,-367.93,"mV","P",0.353917,***,""
"CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,-428.2,"mV","P",0.353917,***,""
"CONTINUITY",10050,"",0,1,"FCB_PS1600",1,-368.279,"mV","P",0.353917,***,""
"CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,-354.04,"mV","P",0.353917,***,""
"CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,-368.905,"mV","P",0.353917,***,""
"CONTINUITY",10040,"",0,1,"OFF_PS1600",1,-362.018,"mV","P",0.353917,***,""
"CONTINUITY",10010,"",0,1,"SS_PS1600",1,-459.188,"mV","P",0.353917,***,""
"CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,-295.368,"mV","P",0.353917,***,""
"CONTINUITY",10060,"",0,1,"GND_PS1600",1,-356.43,"mV","P",0.353917,***,""
"CONTINUITY",10180,"",0,1,"VIN1",1,-342.886,"mV","P",0.353917,***,""
"CONTINUITY",10190,"",0,1,"VIN2",1,-343.346,"mV","P",0.353917,***,""
"CONTINUITY",10200,"",0,1,"VIN3",1,-343.319,"mV","P",0.353917,***,""
"CONTINUITY",10210,"",0,1,"VIN4_RS1",1,-343.42,"mV","P",0.353917,***,""
"CONTINUITY",10220,"",0,1,"VIN4_RS2",1,-343.159,"mV","P",0.353917,***,""
"CONTINUITY",10230,"",0,1,"VIN5_RS1",1,-343.056,"mV","P",0.353917,***,""
"CONTINUITY",10240,"",0,1,"VIN5_RS2",1,-343.38,"mV","P",0.353917,***,""
"CONTINUITY",10250,"",0,1,"VIN6",1,-343.042,"mV","P",0.353917,***,""
"CONTINUITY",10100,"",0,1,"VOUT1",1,-227.713,"mV","P",0.353917,***,""
"CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,-227.31,"mV","P",0.353917,***,""
"CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,-227.427,"mV","P",0.353917,***,""
"CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,-227.598,"mV","P",0.353917,***,""
"CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,-227.631,"mV","P",0.353917,***,""
"CONTINUITY",10150,"",0,1,"VOUT4",1,-227.375,"mV","P",0.353917,***,""
"CONTINUITY",10160,"",0,1,"VOUT5",1,-227.634,"mV","P",0.353917,***,""
"CONTINUITY",10170,"",0,1,"VOUT6",1,-227.697,"mV","P",0.353917,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,-5.17423,"nA","P",0.502834,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,-5.17423,"nA","P",0.502834,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,-10.4246,"nA","P",0.502834,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,-10.4246,"nA","P",0.502834,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,-8.02477,"nA","P",0.502834,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,-8.02477,"nA","P",0.502834,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",1,-10.3829,"nA","P",0.502834,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",1,-10.3829,"nA","P",0.502834,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",1,297.521,"nA","P",0.502834,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",1,-300.257,"nA","P",0.502834,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",1,303.44,"nA","P",0.502834,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",1,-300.919,"nA","P",0.502834,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",1,497.993,"nA","P",0.502834,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",1,-503.345,"nA","P",0.502834,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",1,-0.565868,"nA","P",0.502834,***,""
