Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"CONTINUITY",10030,"",0,1,"EN0_PS1600",1,-369.921,"mV","P",0.129679,***,""
"CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,-423.875,"mV","P",0.129679,***,""
"CONTINUITY",10050,"",0,1,"FCB_PS1600",1,-370.157,"mV","P",0.129679,***,""
"CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,-356.202,"mV","P",0.129679,***,""
"CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,-371.58,"mV","P",0.129679,***,""
"CONTINUITY",10040,"",0,1,"OFF_PS1600",1,-363.156,"mV","P",0.129679,***,""
"CONTINUITY",10010,"",0,1,"SS_PS1600",1,-450.651,"mV","P",0.129679,***,""
"CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,-295.539,"mV","P",0.129713,***,""
"CONTINUITY",10060,"",0,1,"GND_PS1600",1,-356.43,"mV","P",0.129713,***,""
"CONTINUITY",10180,"",0,1,"VIN1",1,-343.346,"mV","P",0.129713,***,""
"CONTINUITY",10190,"",0,1,"VIN2",1,-343.737,"mV","P",0.129713,***,""
"CONTINUITY",10200,"",0,1,"VIN3",1,-344.078,"mV","P",0.129713,***,""
"CONTINUITY",10210,"",0,1,"VIN4_RS1",1,-343.803,"mV","P",0.129713,***,""
"CONTINUITY",10220,"",0,1,"VIN4_RS2",1,-343.723,"mV","P",0.129713,***,""
"CONTINUITY",10230,"",0,1,"VIN5_RS1",1,-343.683,"mV","P",0.129713,***,""
"CONTINUITY",10240,"",0,1,"VIN5_RS2",1,-343.857,"mV","P",0.129713,***,""
"CONTINUITY",10250,"",0,1,"VIN6",1,-343.769,"mV","P",0.129713,***,""
"CONTINUITY",10100,"",0,1,"VOUT1",1,-227.242,"mV","P",0.129713,***,""
"CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,-227.001,"mV","P",0.129713,***,""
"CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,-227.207,"mV","P",0.129713,***,""
"CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,-227.11,"mV","P",0.129713,***,""
"CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,-227.127,"mV","P",0.129713,***,""
"CONTINUITY",10150,"",0,1,"VOUT4",1,-227.213,"mV","P",0.129713,***,""
"CONTINUITY",10160,"",0,1,"VOUT5",1,-227.095,"mV","P",0.129713,***,""
"CONTINUITY",10170,"",0,1,"VOUT6",1,-227.177,"mV","P",0.129713,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,-5.12345,"nA","P",0.416489,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,-5.12345,"nA","P",0.416489,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,-10.1704,"nA","P",0.416489,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,-10.1704,"nA","P",0.416489,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,-7.35943,"nA","P",0.416489,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,-7.35943,"nA","P",0.416489,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",1,-9.9743,"nA","P",0.416489,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",1,-9.9743,"nA","P",0.416489,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",1,295.615,"nA","P",0.416489,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",1,-299.711,"nA","P",0.416489,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",1,301.072,"nA","P",0.416489,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",1,-298.751,"nA","P",0.416489,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",1,497.993,"nA","P",0.416489,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",1,-502.37,"nA","P",0.416489,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",1,-0.819229,"nA","P",0.416489,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",0,1,"FCB_PS1600",1,-5.52641,"nA","P",0.416489,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",0,1,"ISEN_PS1600",1,-0.10747,"nA","P",0.416489,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",0,1,"ISEN_PS1600",1,-8.54807,"nA","P",0.416489,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",0,1,"VBIAS_PS1600",1,756,"nA","P",0.416489,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",0,1,"VBIAS_PS1600",1,-836,"nA","P",0.416489,***,""
"RON_200mAVDD_5_VIN_5_20V_Part",90050,"",0,1,"VIN1",1,0.0225912,"ohm","P",0.0340162,***,""
"DEVICE_VARIENT_TRUE",90060,"",0,1,"VIN1",1,1,"","P",0.0340162,***,""
