HW Bin,Desc,Site,Site%,Device#,Bin%
1,"",1,83.8,88,83.8
2,"FAIL_TRIM_EFUSE",1,10.5,11,10.5
4,"FAIL_GROSS_FUNC_TH",1,1,1,1
3,"CONTINUITY_LKG_FAIL",1,3.8,4,3.8
65535,"",1,1,1,1
