HW Bin,Desc,Device#,Bin%
4,"FAIL_TRIM_EFUSE",6,31.6
1,"",8,42.1
6,"FAIL_GROSS_FUNC_TH",3,15.8
3,"LKG_FAIL",1,5.3
7,"EFUSE_RES",1,5.3
