Device,Device ID,Part ID,Part Txt,Testflow,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"890","","",1,0,1,1,"1",1,106273,""
2,"1441","","",2,0,1,0,"53",4,23108,""
3,"1441","","",3,0,1,0,"53",4,23024,""
4,"1339","","",4,0,1,0,"53",4,23031,""
5,"1339","","",5,0,1,0,"53",4,23014,""
6,"1061","","",6,0,1,0,"70",4,22993,""
7,"1061","","",7,0,1,0,"70",4,22992,""
8,"1251","","",8,0,1,0,"53",4,23002,""
9,"1251","","",9,0,1,0,"53",4,23019,""
10,"1377","","",10,0,1,0,"69",4,23023,""
11,"1377","","",11,0,1,0,"69",4,22986,""
12,"1358","","",12,0,1,0,"53",4,23014,""
13,"1358","","",13,0,1,0,"53",4,23051,""
14,"777","","",14,0,1,0,"53",4,23000,""
15,"777","","",15,0,1,0,"53",4,23000,""
16,"1423","","",16,0,1,0,"70",4,22987,""
17,"1423","","",17,0,1,0,"70",4,23041,""
18,"1366","","",18,0,1,0,"53",4,23011,""
19,"967","","",19,0,1,0,"77",6,23028,""
20,"967","","",20,0,1,0,"77",6,23011,""
21,"1099","","",21,0,1,0,"77",6,23017,""
22,"1099","","",22,0,1,0,"77",6,23057,""
23,"1080","","",23,0,1,0,"77",6,23001,""
24,"1080","","",24,0,1,0,"77",6,23040,""
25,"985","","",25,0,1,0,"77",6,23015,""
26,"985","","",26,0,1,0,"77",6,23017,""
27,"1023","","",27,0,1,1,"1",1,22950,""
28,"947","","",28,0,1,0,"77",6,22963,""
