HW Bin,Desc,Device#,Bin%
4,"FAIL_TRIM_EFUSE",7,10.9
1,"",43,67.2
6,"FAIL_GROSS_FUNC_TH",8,12.5
3,"LKG_FAIL",5,7.8
8,"SCAN_FAIL",1,1.6
