Device,Device ID,Wafer,Site,P/F,Time
1,"300",0,1,1,20305
2,"319",0,1,1,19197
3,"394",0,1,1,19191
4,"414",0,1,1,19215
5,"433",0,1,1,19147
6,"452",0,1,1,19190
7,"471",0,1,1,19226
8,"490",0,1,1,19198
9,"509",0,1,1,19209
10,"528",0,1,1,19224
11,"547",0,1,1,19223
