HW Bin,Desc,Device#,Bin%
1,"",71,71
2,"FAIL_TRIM_EFUSE",16,16
3,"CONTINUITY_LKG_FAIL",6,6
9,"NO_RETEST",4,4
4,"FAIL_GROSS_FUNC_TH",3,3
