Device,Device ID,Wafer,Site,P/F,Time
1,"872",0,1,0,33821
2,"834",0,1,0,5132
3,"815",0,1,0,5120
4,"777",0,1,0,28236
5,"1025",0,1,1,546401
6,"438",0,1,1,51400
7,"419",0,1,1,54237
8,"400",0,1,1,40778
9,"381",0,1,1,44759
10,"362",0,1,1,41005
11,"343",0,1,1,40704
12,"324",0,1,1,41351
13,"305",0,1,1,40588
14,"590",0,1,1,41258
15,"571",0,1,1,41183
16,"552",0,1,1,41221
17,"533",0,1,1,40735
18,"514",0,1,1,41234
19,"495",0,1,1,41134
20,"476",0,1,1,41102
21,"457",0,1,1,40742
22,"742",0,1,1,41174
23,"723",0,1,1,41008
24,"704",0,1,1,41203
25,"685",0,1,1,41161
26,"666",0,1,1,41429
27,"647",0,1,1,40736
28,"628",0,1,1,40971
29,"609",0,1,1,41348
30,"743",0,1,1,41364
31,"724",0,1,1,41305
32,"705",0,1,1,41377
33,"686",0,1,1,41317
34,"667",0,1,1,41280
35,"648",0,1,1,44402
36,"629",0,1,1,41036
37,"610",0,1,1,41188
38,"591",0,1,1,41257
39,"672",0,1,1,41144
40,"553",0,1,1,41022
41,"534",0,1,1,40810
42,"515",0,1,1,41273
43,"496",0,1,1,41436
44,"477",0,1,1,41169
