HW Bin,Desc,Device#,Bin%
6,"FAIL_GROSS_FUNC_TH",19,79.2
3,"LKG_FAIL",1,4.2
2,"CONTINUITY_FAIL",2,8.3
4,"FAIL_TRIM_EFUSE",2,8.3
