Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Time,TS Time
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20020,"Parametric","",-9999,9999,"nA",-1220.98,-298.562,-803.918,345.648,0.308736,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20011,"Parametric","",-9999,9999,"nA",-2827,-2827,-2827,0,0.308736,***
"Output_disabled_leakage_debug","IVDDDIS_VDD_3_VIN_3",800010,"Parametric","",-10,450,"uA",163.11,163.11,163.11,0,0.193344,***
"Output_disabled_leakage_debug","IVINDIS_VDD_3_VIN_3",800050,"Parametric","",-10,450,"uA",262.287,262.287,262.287,0,0.193344,***
"Output_disabled_leakage_debug","IOFF_VDD_3_VIN_3",800090,"Parametric","",-450,10,"uA",-187.486,-187.486,-187.486,0,0.193344,***
"Output_disabled_leakage_debug","IVDDDIS_VDD_3_VIN_5",800020,"Parametric","",-10,450,"uA",168.923,168.923,168.923,0,0.193344,***
"Output_disabled_leakage_debug","IVINDIS_VDD_3_VIN_5",800060,"Parametric","",-10,450,"uA",270.884,270.884,270.884,0,0.193344,***
"Output_disabled_leakage_debug","IOFF_VDD_3_VIN_5",800100,"Parametric","",-450,10,"uA",-190.375,-190.375,-190.375,0,0.193344,***
"Output_disabled_leakage_debug","IVINVDD0_VIN_3",800130,"Parametric","",-10,450,"uA",228.487,228.487,228.487,0,0.193344,***
"Output_disabled_leakage_debug","IOFFVDD0_VIN_3",800150,"Parametric","",-450,10,"uA",-184.27,-184.27,-184.27,0,0.193344,***
"Output_disabled_leakage_debug","IVDDDIS_VDD_5_VIN_3",800030,"Parametric","",-10,450,"uA",180.667,180.667,180.667,0,0.193344,***
"Output_disabled_leakage_debug","IVINDIS_VDD_5_VIN_3",800070,"Parametric","",-10,450,"uA",261.921,261.921,261.921,0,0.193344,***
"Output_disabled_leakage_debug","IOFF_VDD_5_VIN_3",800110,"Parametric","",-450,10,"uA",-185.013,-185.013,-185.013,0,0.193344,***
"Output_disabled_leakage_debug","IVDDDIS_VDD_5_VIN_5",800040,"Parametric","",-10,450,"uA",182.206,182.206,182.206,0,0.193344,***
"Output_disabled_leakage_debug","IVINDIS_VDD_5_VIN_5",800080,"Parametric","",-10,450,"uA",269.141,269.141,269.141,0,0.193344,***
"Output_disabled_leakage_debug","IOFF_VDD_5_VIN_5",800120,"Parametric","",-450,10,"uA",-189.027,-189.027,-189.027,0,0.193344,***
"Output_disabled_leakage_debug","IVINVDD0_VIN_5",800140,"Parametric","",-10,450,"uA",247.028,247.028,247.028,0,0.193344,***
"Output_disabled_leakage_debug","IOFFVDD0_VIN_5",800160,"Parametric","",-450,10,"uA",-189.476,-189.476,-189.476,0,0.193344,***
"Output_disabled_leakage","IVDDDIS_VDD_3_VIN_3",40010,"Parametric","",-10,450,"uA",168.083,168.083,168.083,0,0.16788,***
"Output_disabled_leakage","IVINDIS_VDD_3_VIN_3",40050,"Parametric","",-10,450,"uA",261.884,261.884,261.884,0,0.16788,***
"Output_disabled_leakage","IOFF_VDD_3_VIN_3",40090,"Parametric","",-450,10,"uA",-186.352,-186.352,-186.352,0,0.16788,***
"Output_disabled_leakage","IVDDDIS_VDD_3_VIN_20",40020,"Parametric","",-10,450,"uA",172.049,172.049,172.049,0,0.16788,***
"Output_disabled_leakage","IVINDIS_VDD_3_VIN_20",40060,"Parametric","",-10,450,"uA",288.889,288.889,288.889,0,0.16788,***
"Output_disabled_leakage","IOFF_VDD_3_VIN_20",40100,"Parametric","",-450,10,"uA",-187.499,-187.499,-187.499,0,0.16788,***
