Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Time,TS Time
"Output_disabled_leakage","IOFF_VDD_3_VIN_3",40090,"Parametric","",-10,450,"uA",-2.77261,5.01244,1.50482,2.92453,0.162811,***
"Output_disabled_leakage","IVDDDIS_VDD_3_VIN_50",40180,"Parametric","",-10,450,"uA",114.367,820.294,232.963,287.734,0.162811,***
"Output_disabled_leakage","IVINDIS_VDD_3_VIN_50",40220,"Parametric","",-10,450,"uA",122.169,123.601,122.594,0.532743,0.162811,***
"Output_disabled_leakage","IOFF_VDD_3_VIN_50",40260,"Parametric","",-10,450,"uA",-1.81363,1.72484,0.231113,1.17441,0.162811,***
"Output_disabled_leakage","IVINVDD0_VIN_3",40130,"Parametric","",-10,450,"uA",62.8904,69.5912,65.6745,2.54254,0.162811,***
"Output_disabled_leakage","IOFFVDD0_VIN_3",40150,"Parametric","",-10,450,"uA",-2.02673,2.95465,0.481342,1.82468,0.162811,***
"Output_disabled_leakage","IVDDDIS_VDD_50_VIN_3",40190,"Parametric","",-10,450,"uA",139.302,848.934,260.008,288.522,0.162811,***
"Output_disabled_leakage","IVINDIS_VDD_50_VIN_3",40230,"Parametric","",-10,450,"uA",65.282,71.7696,68.3858,2.63781,0.162811,***
"Output_disabled_leakage","IOFF_VDD_50_VIN_3",40270,"Parametric","",-10,450,"uA",-2.54766,0.445452,-0.810251,1.21694,0.162811,***
"Output_disabled_leakage","IVDDDIS_VDD_50_VIN_50",40200,"Parametric","",-10,450,"uA",135.228,854.179,259.955,291.125,0.162811,***
"Output_disabled_leakage","IVINDIS_VDD_50_VIN_50",40240,"Parametric","",-10,450,"uA",116.913,123.436,119.529,2.43283,0.162811,***
"Output_disabled_leakage","IOFF_VDD_50_VIN_50",40280,"Parametric","",-10,450,"uA",-2.73783,3.17959,-0.0472318,2.43647,0.162811,***
"Output_disabled_leakage","IVINVDD0_VIN_50",40300,"Parametric","",-10,450,"uA",154.112,156.598,155.705,1.0069,0.162811,***
"Output_disabled_leakage","IOFFVDD0_VIN_50",40320,"Parametric","",-10,450,"uA",-1.61237,2.90654,0.433984,1.9051,0.162811,***
"EN_pullup_resistor","EN0V_PULLUP_RES",50010,"Parametric","",0,220,"Kohm",196.192,200.768,197.972,1.53292,0.07664,***
"EN_pullup_resistor","EN1V_PULLUP_RES",50020,"Parametric","",0,220,"Kohm",196.642,205.801,199.434,3.22038,0.07664,***
"EN_pullup_resistor","EN0V_Current",50030,"Parametric","",-20,10,"uA",-9.17466,-8.96556,-9.09264,0.0699367,0.07664,***
