Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Time,TS Time
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_RESET_OFF_LOW",30120,"Parametric","",0,0.7,"V",0.000714269,0.000771185,0.000737036,3.11745e-05,0.233957,***
"Output_disabled_leakage","IVDDDIS_VDD_3_VIN_3",40010,"Parametric","",-10,450,"uA",106.731,118.429,111.003,4.51277,0.11467,***
"Output_disabled_leakage","IVINDIS_VDD_3_VIN_3",40050,"Parametric","",-10,450,"uA",66.4657,74.6353,69.982,3.17742,0.11467,***
"Output_disabled_leakage","IOFF_VDD_3_VIN_3",40090,"Parametric","",-10,450,"uA",-3.75602,2.2687,-0.851249,2.40178,0.11467,***
"Output_disabled_leakage","IVDDDIS_VDD_3_VIN_20",40020,"Parametric","",-10,450,"uA",115.457,120.618,117.777,1.98618,0.11467,***
"Output_disabled_leakage","IVINDIS_VDD_3_VIN_20",40060,"Parametric","",-10,450,"uA",97.6035,102.091,100.191,1.84716,0.11467,***
"Output_disabled_leakage","IOFF_VDD_3_VIN_20",40100,"Parametric","",-10,450,"uA",-4.89113,0.835411,-1.70324,2.10714,0.11467,***
"Output_disabled_leakage","IVINVDD0_VIN_3",40130,"Parametric","",-10,450,"uA",67.5553,73.6285,70.522,2.5062,0.11467,***
"Output_disabled_leakage","IOFFVDD0_VIN_3",40150,"Parametric","",-10,450,"uA",-2.56023,-0.963424,-1.45046,0.673129,0.11467,***
"Output_disabled_leakage","IVDDDIS_VDD_20_VIN_3",40030,"Parametric","",-10,450,"uA",134.969,143.941,138.901,3.78008,0.11467,***
"Output_disabled_leakage","IVINDIS_VDD_20_VIN_3",40070,"Parametric","",-10,450,"uA",70.1714,74.8122,73.3159,1.81086,0.11467,***
"Output_disabled_leakage","IOFF_VDD_20_VIN_3",40110,"Parametric","",-10,450,"uA",-3.01015,3.81889,0.651748,2.4596,0.11467,***
"Output_disabled_leakage","IVDDDIS_VDD_20_VIN_20",40040,"Parametric","",-10,450,"uA",140.935,146.925,143.509,2.64671,0.11467,***
"Output_disabled_leakage","IVINDIS_VDD_20_VIN_20",40080,"Parametric","",-10,450,"uA",92.0035,99.32,95.8843,3.22883,0.11467,***
"Output_disabled_leakage","IOFF_VDD_20_VIN_20",40120,"Parametric","",-10,450,"uA",-3.18774,4.03205,0.0106582,2.60273,0.11467,***
"Output_disabled_leakage","IVINVDD0_VIN_20",40140,"Parametric","",-10,450,"uA",109.786,115.575,113.103,3.01665,0.11467,***
"Output_disabled_leakage","IOFFVDD0_VIN_20",40160,"Parametric","",-10,450,"uA",-2.57135,0.96712,-1.39985,1.39491,0.11467,***
"EN_pullup_resistor","EN0V_PULLUP_RES",50010,"Parametric","",0,220,"Kohm",194.089,195.703,194.905,0.708629,0.0299522,***
"EN_pullup_resistor","EN1V_PULLUP_RES",50020,"Parametric","",0,220,"Kohm",194.81,196.519,195.614,0.677291,0.0299522,***
"EN_pullup_resistor","EN0V_Current",50030,"Parametric","",-20,10,"uA",-9.27412,-9.19761,-9.23535,0.03356,0.0299522,***
"EN_pullup_resistor","EN1V_Current",50040,"Parametric","",-6,6,"uA",-4.10656,-4.07086,-4.08973,0.0141522,0.0299522,***
"Leakage_Test","IOFF_REVERSE_VOUT_VIN_LEAKAGE_1mA",60030,"Parametric","",-500,-100,"mV",-272.871,-271.103,-271.998,0.753115,0.0611482,***
"Leakage_Test","IOFF_REVERSE_VOUT_VIN_LEAKAGE_10mA",60040,"Parametric","",-500,-100,"mV",-334.003,-333.321,-333.71,0.313139,0.0611482,***
"Leakage_Test","IOFF_REVERSE_VOUT_VIN_LEAKAGE_100mA",60050,"Parametric","",-500,-100,"mV",-214.844,-212.236,-213.696,0.994818,0.0611482,***
"Nominal_Input_pin_Leakages","LEAKAGE",70010,"Parametric","",0,100,"uA",24.766,24.9649,24.8629,0.0839774,0.125841,***
"Nominal_Input_pin_Leakages","LEAKAGE",70060,"Parametric","",-0.1,100,"uA",0.00540774,0.00820011,0.00637237,0.00109775,0.125841,***
"Nominal_Input_pin_Leakages","LEAKAGE",70020,"Parametric","",-0.1,100,"uA",-0.0135203,0.0366117,0.0265853,0.0224197,0.125841,***
"Nominal_Input_pin_Leakages","LEAKAGE",70040,"Parametric","",0,100,"uA",26.1172,26.3698,26.2587,0.0971888,0.125841,***
"Nominal_Input_pin_Leakages","LEAKAGE",70030,"Parametric","",0,100,"uA",16.7032,16.9292,16.7886,0.0915634,0.125841,***
"Nominal_Input_pin_Leakages","LEAKAGE",70080,"Parametric","",-0.1,100,"uA",0.0241387,0.100011,0.0544875,0.032975,0.125841,***
"Nominal_Input_pin_Leakages","LEAKAGE",70050,"Parametric","",0,100,"uA",49.9566,51.1913,50.6521,0.510996,0.125841,***
"Nominal_Input_pin_Leakages","LEAKAGE",70070,"Parametric","",0,100,"uA",27.8659,28.4869,28.2186,0.246785,0.125841,***
"Nominal_Input_pin_Leakages","LEAKAGE_2V",70090,"Parametric","",-0.1,100,"uA",-0.032776,0.043096,0.00768905,0.0288358,0.125841,***
"Output_enabled_leakage","IVDD_VDD_3_Vin_3",80001,"Parametric","",0,450,"uA",97.2599,103.476,99.9758,2.34711,0.489822,***
"Output_enabled_leakage","IVIN_VDD_3_Vin_3",80005,"Parametric","",0,450,"uA",54.2663,58.9183,56.2727,1.79104,0.489822,***
"Output_enabled_leakage","IVDD_VDD_3_Vin_20",80010,"Parametric","",0,450,"uA",102.031,112.473,105.436,4.17063,0.489822,***
"Output_enabled_leakage","IVIN_VDD_3_Vin_20",80014,"Parametric","",0,450,"uA",86.206,91.4112,89.2168,2.23471,0.489822,***
"Output_enabled_leakage","IVDD_VDD_20_Vin_3",80011,"Parametric","",0,450,"uA",119.884,126.025,122.461,2.75693,0.489822,***
"Output_enabled_leakage","IVIN_VDD_20_Vin_3",80015,"Parametric","",0,450,"uA",54.6146,57.6456,55.6953,1.20198,0.489822,***
"Output_enabled_leakage","IVDD_VDD_20_Vin_20",80012,"Parametric","",0,450,"uA",125.173,128.627,126.769,1.29826,0.489822,***
"Output_enabled_leakage","IVIN_VDD_20_Vin_20",80016,"Parametric","",0,450,"uA",86.3867,90.2442,89.1268,1.562,0.489822,***
"IVDDFL_IVINFL_RONFL","RON_200mAVDD_5_VIN_5_20V_Part",90050,"Parametric","",0.015,0.03,"ohm",0.0217885,0.0221968,0.0219599,0.000164782,0.0327486,***
"IVDDFL_IVINFL_RONFL","DEVICE_VARIENT_TRUE",90060,"Parametric","",1,1,"",1,1,1,0,0.0327486,***
"SCAN","Scan_test",330010,"Functional","_rdi_burst_SCAN_bk4_mp",***,***," ",***,***,***,***,0.0612782,***
"Logic","Logic_test",340010,"Functional","_rdi_burst_Logic_bk6_mp",***,***," ",***,***,***,***,0.257979,***
"Vreftrim","VBIAS_VALUE_CODE0",180020,"Parametric","",0,3,"V",1.9089,1.95392,1.93421,0.0181821,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE1",180030,"Parametric","",0,3,"V",1.92677,1.97264,1.95227,0.0184311,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE2",180040,"Parametric","",0,3,"V",1.94623,1.99274,1.97195,0.0185984,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE3",180050,"Parametric","",0,3,"V",1.96542,2.01271,1.99139,0.0189245,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE4",180060,"Parametric","",0,3,"V",1.98545,2.03343,2.01168,0.0192097,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE5",180070,"Parametric","",0,3,"V",2.00474,2.05352,2.03113,0.0194834,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE6",180080,"Parametric","",0,3,"V",2.02387,2.07356,2.05088,0.019727,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE7",180090,"Parametric","",0,3,"V",2.04316,2.09319,2.0702,0.0198632,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE8",180100,"Parametric","",0,3,"V",2.06377,2.11368,2.09094,0.0198629,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE9",180110,"Parametric","",0,3,"V",2.08289,2.13377,2.11038,0.0202193,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE10",180120,"Parametric","",0,3,"V",2.10219,2.15341,2.1299,0.0203513,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE11",180130,"Parametric","",0,3,"V",2.12142,2.17344,2.14929,0.0205963,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE12",180140,"Parametric","",0,3,"V",2.14129,2.19393,2.1692,0.0208525,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE13",180150,"Parametric","",0,3,"V",2.16041,2.21374,2.1885,0.0211657,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE14",180160,"Parametric","",0,3,"V",2.17959,2.23349,2.20794,0.0213088,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE15",180170,"Parametric","",0,3,"V",2.19871,2.25313,2.22714,0.021566,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE16",180180,"Parametric","",0,3,"V",1.59176,1.62932,1.61414,0.0151821,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE17",180190,"Parametric","",0,3,"V",1.61082,1.64907,1.63359,0.0154545,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE18",180200,"Parametric","",0,3,"V",1.63012,1.66882,1.6533,0.0156231,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE19",180210,"Parametric","",0,3,"V",1.64959,1.68874,1.67283,0.0157411,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE20",180220,"Parametric","",0,3,"V",1.66973,1.70935,1.69315,0.0159678,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE21",180230,"Parametric","",0,3,"V",1.68909,1.72938,1.71264,0.0162117,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE22",180240,"Parametric","",0,3,"V",1.70866,1.74925,1.73242,0.0162419,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE23",180250,"Parametric","",0,3,"V",1.72784,1.76922,1.75192,0.0165718,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE24",180260,"Parametric","",0,3,"V",1.74896,1.79006,1.77322,0.01663,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE25",180270,"Parametric","",0,3,"V",1.76809,1.81015,1.79271,0.0169341,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE26",180280,"Parametric","",0,3,"V",1.78784,1.82995,1.81241,0.0169512,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE27",180290,"Parametric","",0,3,"V",1.80707,1.85004,1.83199,0.0171998,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE28",180300,"Parametric","",0,3,"V",1.82711,1.87071,1.85222,0.0174481,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE29",180310,"Parametric","",0,3,"V",1.84657,1.89057,1.8717,0.0175731,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE30",180320,"Parametric","",0,3,"V",1.86604,1.91066,1.89147,0.0177868,0.919717,***
"Vreftrim","VBIAS_VALUE_CODE31",180330,"Parametric","",0,3,"V",1.88505,1.93047,1.91091,0.0180999,0.919717,***
"Vreftrim","VREF_TRIM_CODE",180010,"Parametric","",0,31,"Code",24,27,25.4,1.14018,0.919717,***
"Vreftrim","VBIAS_BEST_FIT_VALUE",180340,"Parametric","",0,3,"V",1.79006,1.80707,1.80045,0.00755046,0.919717,***
"SS_Current_Trim","SS_CURRENT_CODE0",220040,"Parametric","",-20,20,"uA",-10.786,-10.396,-10.632,0.157431,1.32209,***
"SS_Current_Trim","SS_CURRENT_CODE1",220050,"Parametric","",-20,20,"uA",-10.941,-10.548,-10.7872,0.158738,1.32209,***
"SS_Current_Trim","SS_CURRENT_CODE2",220060,"Parametric","",-20,20,"uA",-11.091,-10.692,-10.9328,0.160021,1.32209,***
"SS_Current_Trim","SS_CURRENT_CODE3",220070,"Parametric","",-20,20,"uA",-11.225,-10.819,-11.0656,0.162975,1.32209,***
"SS_Current_Trim","SS_CURRENT_CODE4",220080,"Parametric","",-20,20,"uA",-11.395,-10.981,-11.2334,0.164901,1.32209,***
"SS_Current_Trim","SS_CURRENT_CODE5",220090,"Parametric","",-20,20,"uA",-11.537,-11.118,-11.3734,0.166862,1.32209,***
"SS_Current_Trim","SS_CURRENT_CODE6",220100,"Parametric","",-20,20,"uA",-11.702,-11.278,-11.5368,0.168384,1.32209,***
"SS_Current_Trim","SS_CURRENT_CODE7",220110,"Parametric","",-20,20,"uA",-11.887,-11.456,-11.7194,0.171241,1.32209,***
"SS_Current_Trim","SS_CURRENT_CODE8",220120,"Parametric","",-20,20,"uA",-12.062,-11.625,-11.8912,0.172943,1.32209,***
"SS_Current_Trim","SS_CURRENT_CODE9",220130,"Parametric","",-20,20,"uA",-12.226,-11.785,-12.0534,0.174382,1.32209,***
"SS_Current_Trim","SS_CURRENT_CODE10",220140,"Parametric","",-20,20,"uA",-12.411,-11.968,-12.238,0.174784,1.32209,***
"SS_Current_Trim","SS_CURRENT_CODE11",220150,"Parametric","",-20,20,"uA",-12.619,-12.163,-12.44,0.179061,1.32209,***
"SS_Current_Trim","SS_CURRENT_CODE12",220160,"Parametric","",-20,20,"uA",-12.802,-12.333,-12.618,0.183936,1.32209,***
"SS_Current_Trim","SS_CURRENT_CODE13",220170,"Parametric","",-20,20,"uA",-13.02,-12.548,-12.8348,0.184931,1.32209,***
