HW Bin,Desc,Site,Site%,Device#,Bin%
6,"FAIL_GROSS_FUNC_TH",1,15.4,2,15.4
2,"CONTINUITY_FAIL",1,23.1,3,23.1
4,"FAIL_TRIM_EFUSE",1,7.7,1,7.7
1,"",1,53.8,7,53.8
