SW Bin,Desc,Device#,Bin%,Good Bin,Reprobe Bin
"83","Post_Nominal_Input_pin_Leakages_FAILED",1,3,1,0
"1","",25,75.8,1,0
"67","OVST_FAILED",1,3,1,0
"53","Post_SS_Test_FAILED",4,12.1,1,0
"10","IVDDFL_IVINFL_RONFL_FAILED",1,3,1,0
"90","Output_enabled_Leakage_IVDDFL_IVINFL_FAILED",1,3,1,0
