Device,Device ID,Wafer,Site,P/F,Time
1,"1",0,1,0,796695
2,"2",0,1,0,69211
3,"3",0,1,0,65667
4,"4",0,1,0,57704
5,"5",0,1,0,77407
6,"6",0,1,0,57765
7,"7",0,1,0,57762
8,"8",0,1,0,57241
9,"9",0,1,0,61363
10,"10",0,1,0,61910
