HW Bin,Desc,Site,Site%,Device#,Bin%
2,"CONTINUITY_FAIL",1,27.3,3,27.3
6,"FAIL_GROSS_FUNC_TH",1,54.5,6,54.5
3,"LKG_FAIL",1,18.2,2,18.2
