SW Bin,Desc,Device#,Bin%,Good Bin,Reprobe Bin
"1","",66,77.6,1,0
"45","UVLO_POR_redundancy_FAILED",10,11.8,1,0
"69","POST_ILIM_25IMAX_TEST_FAILED",6,7.1,1,0
"10","IVDDFL_IVINFL_RONFL_FAILED",1,1.2,1,0
"85","RON_DIFF_LOAD_CURRENT_FAILED",1,1.2,1,0
"67","OVST_FAILED",1,1.2,1,0
