HW Bin,Desc,Device#,Bin%
1,"",66,77.6
6,"FAIL_GROSS_FUNC_TH",10,11.8
4,"FAIL_TRIM_EFUSE",6,7.1
3,"LKG_FAIL",2,2.4
5,"NO_RETEST",1,1.2
